Question,Answer
Hello,Hello! How may I assist you today?
Hi,Hello! How may I assist you today?
Hey there,Hello! How may I assist you today?
Greetings,Hello! How may I assist you today?
Howdy,Hello! How may I assist you today?
hello sastra,Hello! How may I assist you today?
Goodbye,"Goodbye! If you have more questions, feel free to return."
See you later,"Goodbye! If you have more questions, feel free to return."
Bye,"Goodbye! If you have more questions, feel free to return."
Take care,"Goodbye! If you have more questions, feel free to return."
Thanks,"You're welcome! If you need further help, don't hesitate to ask."
Thank you,"You're welcome! If you need further help, don't hesitate to ask."
Appreciate it,"You're welcome! If you need further help, don't hesitate to ask."
Thanks a lot,"You're welcome! If you need further help, don't hesitate to ask."
What are the major courses offered at SASTRA College?,"  sastra offers various programs including B.Tech, M.Tech, M.Sc., M.C.A., M.B.A., and more. For specific details, you can visit the official website or inquire for more information."
Can you provide information about the different academic programs available at SASTRA College?,"  sastra offers various programs including B.Tech, M.Tech, M.Sc., M.C.A., M.B.A., and more. For specific details, you can visit the official website or inquire for more information."
Tell me about the undergraduate courses offered by SASTRA College.,"  sastra offers various programs including B.Tech, M.Tech, M.Sc., M.C.A., M.B.A., and more. For specific details, you can visit the official website or inquire for more information."
What postgraduate programs does SASTRA College offer?,"  sastra offers various programs including B.Tech, M.Tech, M.Sc., M.C.A., M.B.A., and more. For specific details, you can visit the official website or inquire for more information."
Are there any specialized courses or streams available at SASTRA College?,"  sastra offers various programs including B.Tech, M.Tech, M.Sc., M.C.A., M.B.A., and more. For specific details, you can visit the official website or inquire for more information."
I'm interested in learning more about the courses in the science department at SASTRA College.,"  sastra offers various programs including B.Tech, M.Tech, M.Sc., M.C.A., M.B.A., and more. For specific details, you can visit the official website or inquire for more information."
Could you give me details about the professional courses provided by SASTRA College?,"  sastra offers various programs including B.Tech, M.Tech, M.Sc., M.C.A., M.B.A., and more. For specific details, you can visit the official website or inquire for more information."
What are the options for management courses at SASTRA College?,"  sastra offers various programs including B.Tech, M.Tech, M.Sc., M.C.A., M.B.A., and more. For specific details, you can visit the official website or inquire for more information."
